"日付け","終値","始値","高値","安値","前日比%"
"2012年12月31日","86.75","85.78","86.79","85.68","0.85%"
"2012年12月28日","86.02","86.09","86.63","85.92","-0.09%"
"2012年12月27日","86.10","85.62","86.15","85.45","0.54%"
"2012年12月26日","85.64","84.75","85.70","84.72","1.05%"
"2012年12月25日","84.75","84.94","84.95","84.59","-0.22%"
"2012年12月24日","84.94","84.21","84.94","84.20","0.84%"
"2012年12月21日","84.23","84.36","84.44","83.83","-0.18%"
"2012年12月20日","84.38","84.40","84.45","83.83","-0.04%"
"2012年12月19日","84.41","84.20","84.61","84.14","0.25%"
"2012年12月18日","84.20","83.86","84.27","83.79","0.37%"
"2012年12月17日","83.89","84.35","84.48","83.58","0.49%"
"2012年12月14日","83.48","83.64","83.96","83.30","-0.19%"
"2012年12月13日","83.64","83.24","83.67","83.10","0.47%"
"2012年12月12日","83.25","82.51","83.29","82.45","0.88%"
"2012年12月11日","82.52","82.33","82.57","82.27","0.19%"
"2012年12月10日","82.36","82.35","82.63","82.09","-0.15%"
"2012年12月07日","82.48","82.39","82.82","82.15","0.08%"
"2012年12月06日","82.41","82.46","82.61","82.18","-0.07%"
"2012年12月05日","82.47","81.87","82.48","81.76","0.71%"
"2012年12月04日","81.89","82.23","82.26","81.69","-0.44%"
"2012年12月03日","82.25","82.35","82.50","81.97","-0.28%"
"2012年11月30日","82.48","82.10","82.74","82.02","0.44%"
"2012年11月29日","82.12","82.07","82.21","81.89","0.06%"
"2012年11月28日","82.07","82.12","82.21","81.67","-0.09%"
"2012年11月27日","82.14","82.05","82.31","81.83","0.09%"
"2012年11月26日","82.07","82.39","82.62","81.90","-0.42%"
"2012年11月23日","82.42","82.45","82.48","82.05","-0.06%"
"2012年11月22日","82.47","82.51","82.82","82.25","-0.07%"
"2012年11月21日","82.53","81.67","82.55","81.63","1.05%"
"2012年11月20日","81.67","81.41","81.75","81.11","0.31%"
"2012年11月19日","81.42","81.26","81.56","81.06","0.15%"
"2012年11月16日","81.30","81.14","81.44","80.87","0.17%"
"2012年11月15日","81.16","80.22","81.45","80.11","1.13%"
"2012年11月14日","80.25","79.38","80.30","79.36","1.08%"
"2012年11月13日","79.39","79.49","79.64","79.18","-0.14%"
"2012年11月12日","79.50","79.46","79.56","79.34","0.00%"
"2012年11月09日","79.50","79.45","79.60","79.06","0.04%"
"2012年11月08日","79.47","79.98","80.00","79.31","-0.66%"
"2012年11月07日","80.00","80.35","80.40","79.76","-0.45%"
"2012年11月06日","80.36","80.28","80.44","79.95","0.09%"
"2012年11月05日","80.29","80.27","80.56","80.12","-0.22%"
"2012年11月02日","80.47","80.12","80.67","80.10","0.41%"
"2012年11月01日","80.14","79.76","80.20","79.75","0.46%"
"2012年10月31日","79.77","79.60","79.95","79.49","0.16%"
"2012年10月30日","79.64","79.78","79.99","79.25","-0.21%"
"2012年10月29日","79.81","79.63","79.84","79.51","0.20%"
"2012年10月26日","79.65","80.29","80.36","79.48","-0.81%"
"2012年10月25日","80.30","79.78","80.34","79.74","0.61%"
"2012年10月24日","79.81","79.84","79.91","79.68","-0.06%"
"2012年10月23日","79.86","79.94","79.99","79.69","-0.10%"
"2012年10月22日","79.94","79.30","79.96","79.19","0.78%"
"2012年10月19日","79.32","79.26","79.43","79.11","0.05%"
"2012年10月18日","79.28","78.91","79.45","78.90","0.43%"
"2012年10月17日","78.94","78.88","79.04","78.59","0.06%"
"2012年10月16日","78.89","78.62","78.96","78.61","0.32%"
"2012年10月15日","78.64","78.39","78.86","78.30","0.25%"
"2012年10月12日","78.44","78.31","78.53","78.27","0.14%"
"2012年10月11日","78.33","78.18","78.58","77.92","0.18%"
"2012年10月10日","78.19","78.25","78.37","78.11","-0.08%"
"2012年10月09日","78.25","78.32","78.43","78.14","-0.10%"
"2012年10月08日","78.33","78.66","78.76","78.06","-0.43%"
"2012年10月05日","78.67","78.46","78.87","78.26","0.24%"
"2012年10月04日","78.48","78.48","78.71","78.29","-0.03%"
"2012年10月03日","78.50","78.14","78.58","78.11","0.44%"
"2012年10月02日","78.16","77.98","78.21","77.95","0.21%"
"2012年10月01日","78.00","77.89","78.14","77.77","0.10%"
"2012年09月28日","77.92","77.57","78.10","77.41","0.40%"
"2012年09月27日","77.61","77.73","77.75","77.55","-0.18%"
"2012年09月26日","77.75","77.78","77.88","77.57","-0.06%"
"2012年09月25日","77.80","77.85","77.92","77.64","-0.08%"
"2012年09月24日","77.86","78.15","78.17","77.79","-0.40%"
"2012年09月21日","78.17","78.23","78.37","78.08","-0.10%"
"2012年09月20日","78.25","78.36","78.46","78.00","-0.17%"
"2012年09月19日","78.38","78.80","79.21","78.24","-0.56%"
"2012年09月18日","78.82","78.70","78.87","78.49","0.15%"
"2012年09月17日","78.70","78.37","78.92","78.14","0.40%"
"2012年09月14日","78.39","77.47","78.39","77.44","1.16%"
"2012年09月13日","77.49","77.83","77.87","77.11","-0.46%"
"2012年09月12日","77.85","77.76","77.96","77.71","0.10%"
"2012年09月11日","77.77","78.27","78.28","77.67","-0.65%"
"2012年09月10日","78.28","78.22","78.33","78.15","0.01%"
"2012年09月07日","78.27","78.85","79.01","78.00","-0.75%"
"2012年09月06日","78.86","78.36","79.02","78.36","0.60%"
"2012年09月05日","78.39","78.39","78.53","78.29","-0.04%"
"2012年09月04日","78.42","78.24","78.46","78.23","0.20%"
"2012年09月03日","78.26","78.37","78.39","78.18","-0.17%"
"2012年08月31日","78.39","78.60","78.65","78.18","-0.29%"
"2012年08月30日","78.62","78.68","78.74","78.46","-0.10%"
"2012年08月29日","78.70","78.49","78.78","78.46","0.24%"
"2012年08月28日","78.51","78.74","78.77","78.43","-0.30%"
"2012年08月27日","78.75","78.64","78.84","78.61","0.10%"
"2012年08月24日","78.67","78.46","78.72","78.43","0.24%"
"2012年08月23日","78.48","78.56","78.69","78.34","-0.13%"
"2012年08月22日","78.58","79.26","79.36","78.33","-0.88%"
"2012年08月21日","79.28","79.40","79.52","79.20","-0.18%"
"2012年08月20日","79.42","79.48","79.66","79.30","-0.18%"
